,name,rating,reviews,company_type,Head_Quarters,Company_Age,No_of_Employee
0,TCS,3.9,(53.4k Reviews),Public,"Mumbai,Maharashtra + 275 more",55 years old,1 Lakh+ Employees (India)
1,Accenture,4.1,(33.8k Reviews),Public,Dublin + 133 more,34 years old,1 Lakh+ Employees (India)
2,Cognizant,4.0,(31.1k Reviews),Private,Teaneck. New Jersey. + 102 more,29 years old,1 Lakh+ Employees (India)
3,ICICI Bank,4.0,(35.1k Reviews),Public,"Mumbai,Maharashtra + 1074 more",29 years old,1 Lakh+ Employees (India)
4,HDFC Bank,4.0,(41.3k Reviews),Public,"Mumbai,Maharashtra + 1295 more",29 years old,50k-1 Lakh Employees (India)
5,Wipro,3.9,(30.4k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 229 more",78 years old,1 Lakh+ Employees (India)
6,Infosys,3.9,(29.7k Reviews),Public,"Bengaluru/Bangalore,Karnataka + 127 more",42 years old,1 Lakh+ Employees (India)
7,Capgemini,3.9,(25.1k Reviews),Public,Paris + 79 more,56 years old,1 Lakh+ Employees (India)
8,Tech Mahindra,3.7,(22.6k Reviews),Public,"Pune,Maharashtra + 213 more",37 years old,50k-1 Lakh Employees (India)
9,Genpact,4.0,(20.3k Reviews),Public,"New York,New York + 69 more",26 years old,50k-1 Lakh Employees (India)
10,HCLTech,3.8,(19.5k Reviews),Public,"Noida,Uttar Pradesh + 141 more",32 years old,1 Lakh+ Employees (India)
11,Amazon,4.2,(19.9k Reviews),Public,"Seattle,Washington + 387 more",29 years old,1 Lakh+ Employees (India)
12,Axis Bank,3.9,(19.4k Reviews),Public,"Mumbai,Maharashtra + 1124 more",30 years old,50k-1 Lakh Employees (India)
13,Concentrix Corpo...,4.0,(15.6k Reviews),Public,"Fremont,California + 70 more",40 years old,10k-50k Employees (India)
14,IBM,4.2,(15.8k Reviews),Public,"Armonk,New York + 121 more",112 years old,1 Lakh+ Employees (India)
15,Reliance Jio,4.0,(15.4k Reviews),Public,"Navi Mumbai,Maharashtra + 1021 more",16 years old,50k-1 Lakh Employees (India)
16,Larsen & Toubro ...,4.1,(25.1k Reviews),Public,"Mumbai,Maharashtra + 537 more",77 years old,10k-50k Employees (India)
17,HDB Financial Se...,4.0,(13.9k Reviews),Private,"Ahmedabad,Gujrat + 814 more",16 years old,1 Lakh+ Employees (India)
18,Vodafone Idea,4.2,(13.5k Reviews),Public,"Gandhinagar,Gujrat + 578 more",5 years old,10k-50k Employees (India)
19,Teleperformance,3.6,(15.1k Reviews),Private,Paris + 122 more,45 years old,50k-1 Lakh Employees (India)
20,Reliance Retail,4.1,(17.9k Reviews),Private,"Navi Mumbai,Maharashtra + 740 more",17 years old,1 Lakh+ Employees (India)
21,Kotak Mahindra B...,3.9,(14.1k Reviews),Public,"Mumbai,Maharashtra + 481 more",20 years old,10k-50k Employees (India)
22,Reliance Industr...,4.1,(47k Reviews),Public,"Navi Mumbai,Maharashtra + 521 more",50 years old,10k-50k Employees (India)
23,Deloitte,4.1,(10.8k Reviews),Private,"New York,New York + 132 more",178 years old,10k-50k Employees (India)
24,Bharti Airtel,4.1,(12.8k Reviews),Public,"Gurgaon/Gurugram,Haryana + 540 more",28 years old,10k-50k Employees (India)
25,BYJU'S,3.4,(14.1k Reviews),Private,"Bangalore,Karnataka + 264 more",12 years old,1k-5k Employees (India)
26,Tata Motors,4.1,(12.3k Reviews),Public,"Pune,Maharashtra + 394 more",78 years old,10k-50k Employees (India)
27,Flipkart,4.2,(12.6k Reviews),Public,"Bangalore,Karnataka + 464 more",16 years old,10k-50k Employees (India)
28,WNS,3.7,(7.3k Reviews),Private,"Mumbai,Maharashtra + 24 more",27 years old,10k-50k Employees (India)
29,IndusInd Bank,3.8,(6.9k Reviews),Public,"Gurgaon/Gurugram,Haryana + 578 more",29 years old,10k-50k Employees (India)
30,Mahindra & Mahin...,4.2,(8.7k Reviews),Public,"Mumbai,Maharashtra + 423 more",78 years old,1 Lakh+ Employees (India)
31,Ernst & Young,3.8,(6.7k Reviews),Private,London + 75 more,34 years old,10k-50k Employees (India)
32,DXC Technology,3.9,(7.2k Reviews),Public,"Minato,Tokyo + 56 more",6 years old,10k-50k Employees (India)
33,Infosys BPM,3.9,(6k Reviews),"Bangalore/Bengaluru,Karnataka + 49 more",21 years old,10k-50k Employees (India),
34,Maruti Suzuki,4.2,(6k Reviews),Public,"New Delhi,Delhi + 380 more",40 years old,10k-50k Employees (India)
35,Hinduja Global S...,4.0,(6.2k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 77 more",23 years old,10k-50k Employees (India)
36,IDFC FIRST Bank,4.0,(5.6k Reviews),Public,"Mumbai,Maharashtra + 440 more",5 years old,10k-50k Employees (India)
37,Bajaj Finserv,4.0,(5.5k Reviews),Public,"Pune,Maharashtra + 706 more",16 years old,10k-50k Employees (India)
38,HSBC,4.1,(6k Reviews),Private,"Pune,Maharashtra + 53 more",21 years old,1k-5k Employees (India)
39,Ericsson,4.3,(5.6k Reviews),Private,"Stockholm,Stockholm County + 133 more",147 years old,10k-50k Employees (India)
40,Conneqt Business...,3.7,(5.3k Reviews),Private,"Mumbai,Maharashtra + 167 more",21 years old,10k-50k Employees (India)
41,Mphasis,3.7,(5.1k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 38 more",25 years old,10k-50k Employees (India)
42,Startek,3.3,(5k Reviews),Public,"Mumbai,Maharashtra + 51 more",6 years old,10k-50k Employees (India)
43,Dr. Reddy's,4.2,(5k Reviews),Public,"Hyderabad/Secunderabad,Telangana + 135 more",37 years old,10k-50k Employees (India)
44,Sutherland Globa...,3.8,(5.2k Reviews),Private,"Pittsford,New York + 41 more",37 years old,10k-50k Employees (India)
45,Udaan,4.0,(4.8k Reviews),Private,"Bangalore,Karnataka + 328 more",7 years old,1k-5k Employees (India)
46,Cipla Pharmaceut...,4.1,(4.9k Reviews),Public,"Mumbai,Maharashtra + 191 more",88 years old,10k-50k Employees (India)
47,Yes Bank,4.0,(4.8k Reviews),Public,"Mumbai,Maharashtra + 375 more",19 years old,10k-50k Employees (India)
48,Asian Paints,4.2,(4.9k Reviews),Public,"Mumbai,Maharashtra + 352 more",81 years old,10k-50k Employees (India)
49,HDFC Life,4.2,(4.6k Reviews),Public,"Mumbai,Maharashtra + 429 more",1 years old,10k-50k Employees (India)
50,Jana Small Finan...,3.9,(4.6k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 317 more",17 years old,10k-50k Employees (India)
51,NTT DATA,4.0,(4.8k Reviews),Private,"Chiyoda City,Tokyo + 42 more",35 years old,10k-50k Employees (India)
52,ICICI Prudential...,4.1,(4.5k Reviews),Public,"Mumbai,Maharashtra + 406 more",23 years old,10k-50k Employees (India)
53,iEnergizer,4.2,(4.5k Reviews),Private,"Noida,Uttar Pradesh + 15 more",23 years old,10k-50k Employees (India)
54,PwC,3.8,(4.4k Reviews),Partnership,London + 66 more,25 years old,10k-50k Employees (India)
55,Lupin,4.1,(4.5k Reviews),Public,"Mumbai,Maharashtra + 135 more",55 years old,10k-50k Employees (India)
56,HCL Group,3.8,(25.4k Reviews),Chennai + 70 more,47 years old,50k-1 Lakh Employees (India),
57,EXL Service,3.9,(5.5k Reviews),Private,"New York City,New York + 32 more",24 years old,10k-50k Employees (India)
58,Indian Army,4.7,(4.2k Reviews),Public,"New Delhi,Delhi + 273 more",128 years old,1 Lakh+ Employees (India)
59,L&T Infotech,3.9,(4.2k Reviews),Public,"Mumbai,Maharashtra + 67 more",27 years old,10k-50k Employees (India)
60,UltraTech Cement,4.2,(4.8k Reviews),Public,"Mumbai,Maharashtra + 353 more",40 years old,10k-50k Employees (India)
61,Bajaj Finance,4.1,(4.6k Reviews),Private,"Pune,Maharashtra + 644 more",36 years old,10k-50k Employees (India)
62,KPMG,3.8,(4.2k Reviews),Partnership,Bengaluru/Bangalore + 63 more,36 years old,10k-50k Employees (India)
63,Paytm,3.7,(4.7k Reviews),Public,Noida + 244 more,13 years old,10k-50k Employees (India)
64,Mindtree,4.1,(3.9k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 26 more",24 years old,10k-50k Employees (India)
65,Home Credit Fina...,4.2,(3.9k Reviews),Private,Gurugram + 101 more,11 years old,5k-10k Employees (India)
66,Hindustan Unilev...,4.3,(4.6k Reviews),Public,"Mumbai,Maharashtra + 368 more",90 years old,10k-50k Employees (India)
67,ITC,3.9,(7.4k Reviews),Public,"Kolkata,West Bengal + 247 more",48 years old,5k-10k Employees (India)
68,Ujjivan Small Fi...,4.1,(3.8k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 382 more",6 years old,10k-50k Employees (India)
69,Bandhan Bank,3.9,(3.9k Reviews),Public,"Kolkata,West Bengal + 583 more",22 years old,50k-1 Lakh Employees (India)
70,IIFL,3.9,(3.8k Reviews),Public,"Mumbai,Maharashtra + 521 more",28 years old,1k-5k Employees (India)
71,Delhivery,4.1,(4.1k Reviews),Private,"Delhi,NCT + 490 more",12 years old,10k-50k Employees (India)
72,Wells Fargo Indi...,4.2,(3.7k Reviews),Public,"San Francisco,California + 12 more",171 years old,10k-50k Employees (India)
73,JP Morgan Chase,4.2,(3.7k Reviews),Private,"New York,New York + 21 more",23 years old,10k-50k Employees (India)
74,OPPO,4.0,(3.9k Reviews),Public,"Dongguan,Guangdong + 334 more",19 years old,10k-50k Employees (India)
75,Zydus Cadila,4.2,(4.8k Reviews),Public,"Ahmedabad, India + 119 more",71 years old,10k-50k Employees (India)
76,Shriram Transpor...,4.2,(3.9k Reviews),Public,"Mumbai,Maharashtra + 703 more",44 years old,10k-50k Employees (India)
77,Sun Pharmaceutic...,4.2,(4.1k Reviews),Public,Mumbai + 160 more,40 years old,10k-50k Employees (India)
78,Shapoorji Pallon...,4.3,(6.8k Reviews),Private,"Mumbai,Maharashtra + 139 more",158 years old,5k-10k Employees (India)
79,Aurobindo Pharma,4.0,(3.8k Reviews),Public,"Hyderabad/Secunderabad,Telangana + 51 more",37 years old,10k-50k Employees (India)
80,Vivo,4.1,(3.5k Reviews),Private,"Gurgaon/Gurugram,Haryana + 333 more",14 years old,5k-10k Employees (India)
81,Ashok Leyland,4.1,(3.6k Reviews),Public,"Chennai,Tamil Nadu + 189 more",75 years old,10k-50k Employees (India)
82,AU Small Finance...,4.0,(4.6k Reviews),Private,"Jaipur,Rajasthan + 308 more",27 years old,10k-50k Employees (India)
83,Mahindra & Mahin...,4.3,(5k Reviews),Public,"Mumbai,Maharashtra + 574 more",32 years old,10k-50k Employees (India)
84,Siemens,4.2,(5k Reviews),Public,"Munich,Bavaria + 101 more",176 years old,5k-10k Employees (India)
85,TATA Steel,4.1,(5.1k Reviews),Public,"Mumbai,Maharashtra + 124 more",116 years old,10k-50k Employees (India)
86,Hexaware Technol...,3.7,(3.4k Reviews),Public,"Mumbai,Maharashtra + 31 more",33 years old,10k-50k Employees (India)
87,Apollo Hospitals,4.1,(5.6k Reviews),Public,"San Francisco,California + 162 more",40 years old,50k-1 Lakh Employees (India)
88,Max Life Insuran...,4.2,(3.3k Reviews),JV,"Gurgaon/Gurugram,Haryana + 313 more",23 years old,10k-50k Employees (India)
89,Quess,3.9,(9.6k Reviews),Public,Bangalore + 380 more,16 years old,1k-5k Employees (India)
90,Hewlett-Packard ...,4.3,(3.6k Reviews),Private,"Houston,Texas + 85 more",8 years old,5k-10k Employees (India)
91,eClerx,3.6,(3.2k Reviews),Public,"Mumbai,Maharashtra + 14 more",23 years old,10k-50k Employees (India)
92,JSW Steel,3.9,(3.5k Reviews),Public,"Mumbai,Maharashtra + 101 more",41 years old,10k-50k Employees (India)
93,First Source,3.9,(3.2k Reviews),Public,"Mumbai,Maharashtra + 46 more",22 years old,10k-50k Employees (India)
94,Nokia,4.2,(4.6k Reviews),Private,"Espoo,Southern Finland + 169 more",158 years old,10k-50k Employees (India)
95,Oracle,3.9,(4.1k Reviews),Public,"Austin,Texas + 34 more",46 years old,50k-1 Lakh Employees (India)
96,Tata Projects,4.2,(3.2k Reviews),Public,"Mumbai,Maharashtra + 207 more",44 years old,10k-50k Employees (India)
97,JLL,4.3,(3.2k Reviews),Private,"Mumbai,Maharashtra + 59 more",26 years old,5k-10k Employees (India)
98,Hero MotoCorp,4.2,(3.2k Reviews),Public,"Gurgaon/Gurugram,Haryana + 272 more",39 years old,5k-10k Employees (India)
99,TVS Motor,4.1,(4.6k Reviews),Public,"Chennai,Tamil Nadu + 246 more",44 years old,10k-50k Employees (India)
100,Reliance Communi...,4.0,(3.8k Reviews),Public,"Navi Mumbai,Maharashtra + 376 more",21 years old,10k-50k Employees (India)
101,JustDial,3.6,(3.1k Reviews),Public,"Mumbai,Maharashtra + 136 more",27 years old,10k-50k Employees (India)
102,Intelenet Global...,3.7,(3.1k Reviews),Private,"Mumbai,Maharashtra + 55 more",23 years old,10k-50k Employees (India)
103,Future Group,4.2,(9.8k Reviews),Private,"Mumbai,Maharashtra + 199 more",10 years old,50k-1 Lakh Employees (India)
104,Fidelity Nationa...,4.1,(3.2k Reviews),Private,"Jacksonville,Florida + 30 more",55 years old,5k-10k Employees (India)
105,Cyient,3.7,(3k Reviews),Public,"Hyderabad/Secunderabad,Telangana + 25 more",32 years old,10k-50k Employees (India)
106,Bajaj Allianz Li...,4.1,(3k Reviews),Private,Pune + 426 more,22 years old,10k-50k Employees (India)
107,Hyundai Motor,4.2,(4.1k Reviews),Private,Seoul + 233 more,56 years old,10k-50k Employees (India)
108,Oyo Rooms,3.5,(3.1k Reviews),Private,"Gurgaon,Haryana + 107 more",10 years old,1k-5k Employees (India)
109,Megha Engineerin...,4.1,(2.9k Reviews),Private,"Hyderabad/Secunderabad,Telangana + 216 more",34 years old,1k-5k Employees (India)
110,Bosch,4.2,(6.5k Reviews),Public,"Gerlingen,Baden-Wuerttemberg + 84 more",137 years old,5k-10k Employees (India)
111,Wipro BPS,3.8,(2.8k Reviews),Bengaluru + 34 more,23 years old,1 Lakh+ Employees (India),
112,Omega Healthcare,3.8,(2.8k Reviews),Private,Florida + 30 more,19 years old,5k-10k Employees (India)
113,L&T Construction,4.2,(3.7k Reviews),Public,Chennai + 273 more,79 years old,10k-50k Employees (India)
114,D Mart,3.9,(2.8k Reviews),Private,"Mumbai,Maharashtra + 171 more",23 years old,10k-50k Employees (India)
115,Atos Syntel,3.7,(4.5k Reviews),Private,"Troy,Michigan + 14 more",43 years old,10k-50k Employees (India)
116,Manappuram Finan...,4.0,(3.4k Reviews),Public,"Thrissur/Trichur,Kerala + 412 more",74 years old,10k-50k Employees (India)
117,SBI Cards & Paym...,3.8,(2.7k Reviews),Government,"Gurgaon/Gurugram,Haryana + 258 more",25 years old,1k-5k Employees (India)
118,BNY Mellon,4.2,(2.7k Reviews),Private,"New York City,New York + 11 more",19 years old,5k-10k Employees (India)
119,Cummins,4.3,(3.3k Reviews),"Columbus,Indiana + 87 more",61 years old,10k-50k Employees (India),
120,Samsung,4.0,(7.6k Reviews),Public,Seoul + 361 more,85 years old,10k-50k Employees (India)
121,Fullerton India,4.1,(2.6k Reviews),Private,Mumbai + 410 more,16 years old,10k-50k Employees (India)
122,BigBasket,4.1,(2.7k Reviews),Private,"Bangalore,Karnataka + 85 more",12 years old,10k-50k Employees (India)
123,Nagarro,4.5,(2.7k Reviews),Private,"Munich,Bavaria + 32 more",27 years old,10k-50k Employees (India)
124,Amdocs,4.0,(2.6k Reviews),Private,"Chesterfield,Missouri + 11 more",41 years old,10k-50k Employees (India)
125,Indiamart Interm...,3.7,(2.7k Reviews),Private,"Noida,Uttar Pradesh + 112 more",27 years old,10k-50k Employees (India)
126,Viatris,4.3,(2.6k Reviews),"Canonsburg,Pennsylvania + 63 more",62 years old,10k-50k Employees (India),
127,Bosch Global Sof...,4.2,(2.5k Reviews),Private,Gerlingen + 21 more,33 years old,10k-50k Employees (India)
128,CBRE,4.3,(2.5k Reviews),Private,"Los Angeles,California + 54 more",117 years old,5k-10k Employees (India)
129,IQVIA,4.2,(2.6k Reviews),Partnership,Durham + 35 more,41 years old,10k-50k Employees (India)
130,Ecom Express,4.2,(2.5k Reviews),Private,"Gurgaon,Haryana + 518 more",11 years old,10k-50k Employees (India)
131,UST,4.0,(2.6k Reviews),Private,"Aliso Viejo,California + 30 more",22 years old,10k-50k Employees (India)
132,Godrej & Boyce M...,3.9,(5.2k Reviews),Private,"Mumbai,Maharashtra + 115 more",126 years old,10k-50k Employees (India)
133,State Bank of In...,3.9,(5.1k Reviews),"Mumbai,Maharashtra + 385 more",217 years old,1 Lakh+ Employees (India),
134,JBM Group,4.0,(3.2k Reviews),Public,"Gurgaon/Gurugram,Haryana + 72 more",40 years old,10k-50k Employees (India)
135,ICICI Lombard Ge...,3.8,(2.5k Reviews),Public,"Mumbai,Maharashtra + 207 more",22 years old,5k-10k Employees (India)
136,Dell,4.2,(3.8k Reviews),Private,"Round Rock,Texas + 81 more",39 years old,10k-50k Employees (India)
137,Schneider Electr...,4.2,(4k Reviews),Private,Paris + 89 more,24 years old,10k-50k Employees (India)
138,Equitas Small Fi...,4.2,(2.5k Reviews),Private,"Chennai,Tamil Nadu + 302 more",16 years old,10k-50k Employees (India)
139,Royal Enfield,4.2,(2.5k Reviews),Private,"Gurgaon/Gurugram,Haryana + 254 more",122 years old,1k-5k Employees (India)
140,Ford Motor,4.5,(3k Reviews),Public,"Dearborn,Michigan + 104 more",120 years old,5k-10k Employees (India)
141,Muthoot Finance,3.6,(2.4k Reviews),Public,"Kochi/Cochin,Kerala + 452 more",84 years old,10k-50k Employees (India)
142,Bajaj Auto,4.0,(2.4k Reviews),Public,"Pune,Maharashtra + 209 more",78 years old,201-500 Employees (India)
143,Nagarjuna Constr...,4.1,(2.5k Reviews),Public,"Hyderabad/Secunderabad,Telangana + 187 more",25 years old,1k-5k Employees (India)
144,Whitehat jr,3.7,(2.4k Reviews),Private,"Mumbai,Maharashtra + 46 more",5 years old,5k-10k Employees (India)
145,Tata Communicati...,4.1,(3.3k Reviews),Public,"Mumbai,Maharashtra + 83 more",37 years old,5k-10k Employees (India)
146,GlobalLogic,4.0,(2.4k Reviews),Private,"San Jose,California + 24 more",23 years old,1k-5k Employees (India)
147,Muthoot Fincorp,4.0,(2.4k Reviews),Private,"Trivandrum/Thiruvananthapuram,Kerala + 453 more",136 years old,10k-50k Employees (India)
148,Cholamandalam In...,4.2,(2.4k Reviews),Private,"Chennai,Tamil Nadu + 512 more",45 years old,5k-10k Employees (India)
149,UnitedHealth,4.2,(4.6k Reviews),Private,"Minnetonka,Minnesota + 12 more",46 years old,10k-50k Employees (India)
150,Aditya Birla Fas...,4.2,(3.1k Reviews),Private,Mumbai + 200 more,8 years old,10k-50k Employees (India)
151,Capgemini Techno...,4.1,(2.4k Reviews),Bengaluru/Bangalore + 25 more,,,
152,John Deere,4.3,(2.6k Reviews),Private,"Moline,Illinois + 100 more",22 years old,1k-5k Employees (India)
153,Virtusa Consulti...,3.8,(2.4k Reviews),Private,"Southborough,Massachusetts + 23 more",27 years old,10k-50k Employees (India)
154,L&T Financial Se...,4.0,(2.3k Reviews),Public,"Mumbai,Maharashtra + 408 more",29 years old,10k-50k Employees (India)
155,SBI Life Insuran...,3.9,(2.3k Reviews),Government,"Mumbai,Maharashtra + 441 more",22 years old,10k-50k Employees (India)
156,KEC Internationa...,4.1,(2.3k Reviews),Public,"Mumbai,Maharashtra + 213 more",78 years old,5k-10k Employees (India)
157,Dominos Pizza,4.1,(2.3k Reviews),Public,"Ypsilanti,Michigan + 210 more",63 years old,1k-5k Employees (India)
158,Swiggy,4.0,(2.6k Reviews),Private,"Bangalore,Karnataka + 144 more",9 years old,10k-50k Employees (India)
159,Wipro Consumer ...,3.9,(3k Reviews),Private,"Bangalore/Bengaluru,Karnataka + 76 more",78 years old,1k-5k Employees (India)
160,LG Electronics,4.0,(2.3k Reviews),Public,"Seoul,Seoul + 186 more",65 years old,10k-50k Employees (India)
161,Hetero Drugs,3.9,(2.6k Reviews),Private,"Hyderabad/Secunderabad,Telangana + 32 more",30 years old,1k-5k Employees (India)
162,Motherson Sumi S...,3.9,(3.7k Reviews),Public,"Noida,Uttar Pradesh + 63 more",37 years old,5k-10k Employees (India)
163,Axis Direct,4.0,(2.3k Reviews),Private,"San Mateo,California + 261 more",12 years old,1k-5k Employees (India)
164,Thermax,4.2,(2.5k Reviews),Public,"Pune,Maharashtra + 136 more",43 years old,1k-5k Employees (India)
165,Sodexo,4.1,(2.4k Reviews),Private,Issy Les Moulineaux + 114 more,15 years old,201-500 Employees (India)
166,Optum,4.1,(2.2k Reviews),Private,Minnesota + 20 more,46 years old,10k-50k Employees (India)
167,Wipro Infotech,4.0,(2.2k Reviews),Private,Bangalore + 113 more,78 years old,1 Lakh+ Employees (Global)
168,Abbott Healthcar...,4.1,(4.3k Reviews),Public,"Illinois City,Illinois + 152 more",32 years old,10k-50k Employees (India)
169,Intas Pharmaceut...,4.3,(2.2k Reviews),Private,"Ahmedabad,Gujrat + 102 more",23 years old,10k-50k Employees (India)
170,Ekart Logistics,4.2,(2.2k Reviews),Private,"San Francisco,California + 440 more",14 years old,5k-10k Employees (India)
171,Subros,4.0,(2.2k Reviews),Public,"Noida,Uttar Pradesh + 35 more",38 years old,1k-5k Employees (India)
172,Macleods Pharmac...,3.9,(2.2k Reviews),Public,"Mumbai,Maharashtra + 76 more",37 years old,5k-10k Employees (India)
173,Varun Beverages,4.0,(2.1k Reviews),Public,"Gurgaon/Gurugram,Haryana + 208 more",28 years old,10k-50k Employees (India)
174,Automatic Data P...,4.2,(2.1k Reviews),New Jersey + 13 more,74 years old,5k-10k Employees (India),
175,Piramal Capital ...,4.3,(2.1k Reviews),Mumbai + 252 more,3 years old,5k-10k Employees (India),
176,VE Commercial Ve...,4.0,(2.1k Reviews),Private,"Gurgaon/Gurugram,Haryana + 106 more",15 years old,1k-5k Employees (India)
177,L&T Technology S...,3.4,(2.1k Reviews),Public,"Vadodara/Baroda,Gujarat + 25 more",11 years old,10k-50k Employees (India)
178,Hindustan Coca C...,4.4,(2.1k Reviews),Private,Bangalore + 176 more,26 years old,5k-10k Employees (India)
179,Bharat Electroni...,4.2,(2.1k Reviews),Private,"Bangalore/Bengaluru,Karnataka + 33 more",69 years old,5k-10k Employees (India)
180,Randstad,4.1,(2.1k Reviews),Private,"Chennai,Tamil Nadu + 206 more",31 years old,1k-5k Employees (India)
181,Pidilite Industr...,4.3,(2.2k Reviews),Public,"Mumbai,Maharashtra + 191 more",64 years old,5k-10k Employees (India)
182,Alembic Pharmace...,4.1,(2k Reviews),Public,"Vadodara/Baroda,Gujrat + 115 more",116 years old,10k-50k Employees (India)
183,Indian Air Force,4.6,(2k Reviews),Private,"New Delhi,Delhi + 100 more",91 years old,1 Lakh+ Employees (India)
184,CARS24,3.7,(2.1k Reviews),Private,"Gurgaon,Haryana + 131 more",8 years old,5k-10k Employees (India)
185,Havells,4.2,(2.2k Reviews),Public,"Noida,Uttar Pradesh + 139 more",40 years old,5k-10k Employees (India)
186,Alkem Laboratori...,4.0,(2k Reviews),Public,"Mumbai,Maharashtra + 125 more",50 years old,10k-50k Employees (India)
187,Cgi Group,4.1,(2.1k Reviews),Private,"Montreal,Quebec + 13 more",47 years old,10k-50k Employees (India)
188,Glenmark Pharmac...,4.1,(2k Reviews),Public,"Mumbai,Maharashtra + 118 more",46 years old,501-1k Employees (India)
189,CMS IT Services,3.1,(2k Reviews),Private,"Bangalore,Karnataka + 123 more",9 years old,5k-10k Employees (India)
190,American Express,4.4,(2k Reviews),Private,"New York City,New York + 35 more",173 years old,10k-50k Employees (India)
191,NatWest Group,4.1,(2.2k Reviews),Government,Gurgaon/Gurugram + 20 more,10k-50k Employees (India),
192,Gati kwe,4.1,(2k Reviews),Private,"Hyderabad/Secunderabad,Telangana + 148 more",11 years old,1k-5k Employees (India)
193,Deutsche Bank,4.2,(2.2k Reviews),Private,Frankfurt + 29 more,153 years old,1k-5k Employees (India)
194,Atos,3.8,(7.2k Reviews),Private,"Vilnius,Vilniaus Apskritis + 30 more",26 years old,201-500 Employees (India)
195,Ipca Laboratorie...,4.0,(2k Reviews),Public,"Mumbai,Maharashtra + 98 more",74 years old,10k-50k Employees (India)
196,Honda Motorcycle...,4.2,(2k Reviews),Private,"Gurgaon/Gurugram,Haryana + 174 more",24 years old,1k-5k Employees (India)
197,ABB Group,4.1,(2k Reviews),Public,Zurich + 82 more,22 years old,10k-50k Employees (India)
198,DCB Bank,4.0,(2k Reviews),Private,"Mumbai,Maharashtra + 258 more",93 years old,5k-10k Employees (India)
199,Shoppers Stop,4.3,(2k Reviews),Public,"Mumbai,Maharashtra + 55 more",32 years old,5k-10k Employees (India)
200,DTDC Express,3.9,(2k Reviews),Private,"Bangalore/Bengaluru,Karnataka + 194 more",33 years old,1k-5k Employees (India)
201,Hindalco Industr...,4.2,(2.1k Reviews),Public,"Mumbai,Maharashtra + 67 more",65 years old,10k-50k Employees (India)
202,Simplex Infrastr...,3.6,(2.1k Reviews),Public,"Kolkata,West Bengal + 121 more",99 years old,1k-5k Employees (India)
203,Reliance Nippon ...,3.9,(1.9k Reviews),Private,"Mumbai,Maharashtra + 391 more",23 years old,10k-50k Employees (India)
204,Team Lease,4.0,(1.9k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 224 more",7 years old,1k-5k Employees (India)
205,Conduent,3.6,(1.9k Reviews),Private,"Florham Park,New Jersey + 18 more",6 years old,5k-10k Employees (India)
206,Arvind Group,4.1,(2.3k Reviews),Public,"Ahmedabad,Gujrat + 121 more",92 years old,10k-50k Employees (India)
207,24/7 Customer,3.6,(1.9k Reviews),Private,"San Jose,California + 21 more",23 years old,5k-10k Employees (India)
208,Maersk,4.4,(2.4k Reviews),Private,Copenhagen + 24 more,119 years old,10k-50k Employees (India)
209,Suzlon Group,4.1,(1.9k Reviews),Public,"Pune,Maharashtra + 88 more",28 years old,5k-10k Employees (India)
210,Indian Oil Corpo...,4.4,(2.1k Reviews),Private,"Delhi/NCR,Delhi + 190 more",64 years old,10k-50k Employees (India)
211,McDonald's,4.3,(1.9k Reviews),Private,"Chicago,Illinois + 124 more",68 years old,5k-10k Employees (India)
212,Vishal Mega Mart,3.8,(1.9k Reviews),Private,"Gurgaon/Gurugram,Haryana + 268 more",15 years old,10k-50k Employees (India)
213,Standard Charter...,4.0,(3.6k Reviews),Private,London + 56 more,54 years old,5k-10k Employees (India)
214,Muthoot Group,3.7,(4.8k Reviews),Public,"Wedel,Schleswig-holstein + 330 more",136 years old,1k-5k Employees (India)
215,Wipro Enterprise...,3.9,(4.8k Reviews),Bangalore + 69 more,78 years old,1 Lakh+ Employees (India),
216,KocharTech,4.4,(1.9k Reviews),Private,"Gurgaon/Gurugram,Haryana + 19 more",28 years old,1k-5k Employees (India)
217,MRF Tyres,3.7,(2.1k Reviews),Public,"Chennai,Tamil Nadu + 151 more",77 years old,10k-50k Employees (India)
218,Publicis Sapien...,3.7,(1.9k Reviews),Private,"New York,New York + 14 more",33 years old,10k-50k Employees (India)
219,Bank of America,4.4,(3k Reviews),Private,Charlotte + 22 more,25 years old,10k-50k Employees (India)
220,Escorts Kubota L...,4.1,(2k Reviews),Public,"Faridabad,Haryana + 107 more",63 years old,10k-50k Employees (India)
221,Titan Company,4.4,(2.6k Reviews),Public,"Mumbai,Maharashtra + 125 more",5 years old,5k-10k Employees (India)
222,Bajaj Electrical...,4.1,(1.8k Reviews),Public,"Mumbai,Maharashtra + 168 more",85 years old,1k-5k Employees (India)
223,Ceat Tyres,4.1,(1.9k Reviews),Public,"Mumbai,Maharashtra + 94 more",65 years old,5k-10k Employees (India)
224,Jindal Steel and...,4.0,(2.2k Reviews),Private,"Delhi/NCR,New Delhi + 88 more",71 years old,5k-10k Employees (India)
